Row Number,MAC Address,Channel Name,Partial Service,Frequency (MHz),Modulation,Status,Tx Power (dBmV),Rx Power (dBmV),Attenuation (dB),MER (dB),SNR (dB),SNR Deviation (σ),CCER+CER (%),CER (%),Spectral Response (dB),Composite Equalization [NMTER] (dB),Group Response [PREMTTER] (dB),Echo Response [POSTMTTER] (dB),Deviation of Echo Response (σ),Latest Proactive Scan,Latest Outage Scan
1,44:D4:54:B7:4D:34,Cable1/0/3-upstream4,none,75.4,QAM-64,Online,48.5,7,41.5,N/A,43.1,0.9,0,0,N/A,-26.4,-27.7,-32.2,0.00006479903095,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
2,A0:39:EE:99:D9:30,Cable1/0/3-upstream0,none,38.6,QAM-64,Online,44.5,8,36.5,N/A,43.1,1.7,0.0114,0.0006,N/A,-28.7,-29.9,-34.6,0.00009893577953,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
3,44:D4:54:A0:E1:47,Cable1/0/3-upstream4,none,75.4,QAM-64,Online,41.8,7,34.8,N/A,43.1,0.7,0,0,N/A,-25.9,-29.6,-28.4,0.0001408998942,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
4,E4:C0:E2:13:05:4E,Cable1/0/3-upstream1,none,32.2,QAM-64,Online,48.5,7,41.5,N/A,43.1,1,0,0,N/A,-29.1,-44.3,-29.3,0.0129306484,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
5,E4:C0:E2:13:05:4E,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,50.3,7,43.3,N/A,43.1,1,0,0,N/A,-17.4,-20.8,-20,0.0008084109868,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
6,44:05:3F:63:57:A0,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,55,7,48,N/A,43.1,1.1,0,0,N/A,-20,-20.4,-31.7,0.00008391351003,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
7,3C:B7:4B:42:40:6C,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,47.8,7,40.8,N/A,43.1,0.8,0,0,N/A,-21.6,-24.6,-24.7,0.000236799533,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
8,08:7E:64:3A:EF:3C,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,45.5,7,38.5,N/A,43.1,1.1,0,0,N/A,-19,-21.3,-22.9,0.0003189794079,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
9,84:01:12:2E:49:68,Cable1/0/3-upstream4,none,75.4,QAM-64,Online,49.3,7,42.3,N/A,43.1,0.9,0,0,N/A,-26.3,-29.4,-29.2,0.0002425220009,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
10,8C:FD:DE:94:13:8A,Cable1/0/3-upstream4,none,75.4,QAM-64,Online,47.3,7,40.3,N/A,43.1,0.7,0,0,N/A,-28.7,-32.6,-31,0.000055747023,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
